Author,Comment,sentiment_label
Happy Gilmore,why did people vote this fraud,negative
Sainte Jeanne d'Arc,yeah another stolen election so boring,negative
Owlboom,wikihow how to waste 600 million dollars during a pandemic,negative
MarC In Space,how is this even possible this place is fukd,negative
SG1,first thing that the traitor trudeau will do is take a vacation on some elite and private island with some little kids that are nt his then figure out how he can make himself richer by getting big and juicy government contracts to his friends and relatives,negative
DrKlown,a lot of people are talking about wasting 600m but what about all those plastic campaign signs this election created a lot of waste not just in the monetary sense,negative
NMB,honestly the way this years election was planned i expected him to win  it was so unorganized,negative
Paul l,so he won does that mean i  m 2 years another election or no,neutral
Clxpy,welp now we  ve done it bravo canada Applause Applause,positive
Sickofliberals,the canadians you say no not the real canadians the real canadians don  t want him here,negative
JC Denton,take note this is what happens when you allow someone with an arts degree to run the country you get a bunch of dipshit art s graduate voters who are unemployed voting for an incompetent leader who somehow manages to get canada s inflation to 41 and creates a bigger deficit in 2 years than the past 4 prime ministers combined,negative
mm 12,ppc voters fault should have not wasted our votes,negative
dominic barbucci,victory speech wow you came out with what you went in with a minority government i guess for trudeau putting on his pants in the morning is a victory,positive
Sickofliberals,if you  re not born here you shouldn  t have a say in our politics what justin trudeau did was cheat the election by letting a bunch of refugees come over they for sure voted for him and any other immigrants he led over which is over half of our population in canada he is a traitor,negative
Oscar Jetson,thanks toronto please do nt complain when gas and housing prices continue to rise,neutral
Edith Dela Cruz,congratulations mr trudeau ,positive
TheShowHost,maybe our country deserves his tyranny i mean we keep electing him ,negative
Tj,pos cheater he  s forced a lockdown 3 days before voting to scare people to stay home it  s time for the west to separate,negative
Sickofliberals,all of you who voted for justin trudeau are probably immigrants and have no right to our voting system,negative
Afandy Mohammad,my heartfelt congratulations to prime minister trudeau and to all canadian people being elected again as prime ministers let us move forward,positive
Eidolus Gad,probably the last election for quite some time time for castreau to wear his dad s cuban military boots,neutral
David Craigie,only a reptilian or a liberal could call a resounding defeat a victory,negative
Theconnecteduniverse1 Videos,minority government although he got huge support from masons n lgbt lobbies  such a looser,negative
GG Memes,funny how he emphasizes  our ,neutral
Corey Mckee,good god  Sarcasm boredomBored indifferencesomeone tell john wick that trudope killed his dog,negative
Google Google,god dang waste of tax payer s time and money,negative
Artist in Deadlight,he has lost the popular votehe might be legitimate by the system but not by the will of the peoplethe same way trump lost the popular vote despite winning the first time,negative
Sickofliberals,i promise to give my life to take out justin trudeau  s,negative
No Hype Jizz Reviews,600m to be back to where he started utter failure of canada mind blowing he was reelected,negative
wally,time for the west to say goodbye to the east and separate from the dictator trudeau and his communist party,negative
Kelly Burke,cant stand him cant believe he got in again,negative
Vincent Tannahill,he may seem like he might put an end to this pandemic and put himself in harms way for us and that is what we would like to believe but in reality he has done absolutely nothing how does nobody see that a ton of people still vote for him why i am not saying nobody does people still do and if you can see that good on you thank you for you re time on reading my long speech,negative
ExRoyal,you do nt see a divided canada you did nt win the popular vote and most canadians want you gone,negative
GODOFWAR,when are they hanging him for treason and child trafficking i mean we all know his dad is fidel castro,negative
Highbatros,the overwhelming number of dislikes on this video reflects the real public opinion of our prime clownminister amazed at how many people rationalized voting for him because he promised to fix a bunch of issues that he himself created in the first place sad day,negative
Mark S,well at least we know where the idiots are,negative
It can't rain all the time, for the 3rd time canadians have spoken  what canadians,neutral
Ron H,it s extremely revealing that this party and it s voters have zero economic and financial education i hope they have lots of money they re going to need it,negative
jacobrocks7,hey trudeau don  t forget nearly 70 didn  t vote for you ,negative
Ryan Mann,please tell me liberal voters how you can support trudeau,neutral
Jeremie Matte,the more we move ahead the more we re stuck in rewind,neutral
ElectionDenier,i thought trudeau was black,neutral
ImNotMe,i guess another 600 mill wasted d we might as well just give out free money at this point cuz clearly a lot of the gov spending is going to questionable thing the past 2 years,negative
Derek Lopez,100 million and civil divide later back where we were,negative
Space W,trudeau will bankrupt canada we will see,negative
Danjacytes Pilsbury,god the ego on this guy yes its a win for the party but a colossal loss for you,negative
Pura Vida,victory 200 million for what,neutral
joven ibarra,justin trudeau now confirms what he knew all along that he leads a minority government he wasted a lot of taxpayers money to please himself called for an unnecessary election and behaves that he has a majority,negative
Carson,three words  Swearing contempt disrespect you ontario,negative
Lovestosingalot55 Bodin,i believe he cheated again like he did last time can you say dominion machines and the new world order you may as well say goodbye to your beloved country because trudeau is another deep state member he is just like biden and they should both be in gitmo for crimes against humanity and other crimes i hope everyone is happy,negative
Varsha,i see more dislike than likes for this video  hope these people were there during voting then things would have been diff,negative
Megan Leecy,just waste our money no matter what you wo nt get majority,negative
Tom H., homes in reach of the middle class families  you mean massive foreign investors buying up homes making them jump to unreasonable prices again what an absolute sellout why would anybody believe you when you have proven yourself so untrustworthy in doing what you say you will,negative
Surgent Grimberg,yay wasted money on an election can we say a trump in canadian form bloody sick on this coin toss system,negative
FUSTER CLUCK 🐔,congratulations mister blackface you wasted 600 million dollars to get basically the exact same resultat least he failed to achieve a majority,negative
Nicnicnicolas89,sad in 4 more years there will be a lot more tent cities 3rd world country coming,negative
Athropos,welcome to the great reset,neutral
Devin Shea,i had to leave america because of selfish idiots now i  m stuck with black face idiot liberal that enjoys his own voice too much,negative
PWA,we have to do something different the west never never has a say in any federal election because the east mainly a welfare state vote for the guy that hands out money,negative
Gabriele Malatesta,big joke copy pasta thank you mister,positive
Debra & Billy,trudeau was nt elected his was selected huge fckn difference thee indigenous peoples would have never voted for this monster,negative
cmclean1980,are you serious he hasn  t seen any division during his campaign this guy is so delusional  he is preaching division  what else do you call us and them i am so discouraged i thought we were smarter then this ,negative
Blake Baker,its odd that i ca nt seem to find videos anywhere on any platform where the comments or likedislike ratio is in the favour of this movement hmmm,negative
Sam Hain,this is what happens when you live in a society that is brainwashed and believes everything and his own lies he did go to school to be a great actor and he plays a great dictator welcome to the new russia he should change the maple leaf into the hammer and sickle he has change everything else why not change the flag,negative
Grrr oh my,he did it in a way that he  d win anyway,neutral
David Hamilton,i thought they still had to count all the mail in ballots today,neutral
IssacNewton,can anyone who is pro liberal or anti liberal explain to me what was the point of this election and if it was worth 600 million taxpayer dollars,negative
Mobstar Malcom,im not surprised this crime minister stole the election welcome to chinada it s quite messed up seeing people thumbs up this video,negative
LeRoyDank,well that  s one less goofball i  ll be listening to this year,negative
FourEverGirls Vlog,congratulations again sir justine trudeau,positive
Sethalos,not sure how this is considered a victory,negative
David M,i m starting to think the ppc was a liberal puppet to split votes,negative
Aidan Richard,first it was  get him out  and now that he had an election everyone is complaining about the money spent for people who complain about snowflakes i sure hear a lot of whining,negative
GALLIMFURYRB,say good bye to the canada you once knew loved,negative
Abdifatah Mukhtar,i like how everyone on social media does nt like justin but he still wins Extreme happiness laughterExtreme happiness laughter,positive
Salman Palle,although it  s minority government but we defeated conservative party 3rd time,neutral
Dylan Mohr,will you  stand up and work for everyone every single day  even if they have been hesitant to get the covid 19 vaccination or will you segregate and categorize all of them as antivaxxers,neutral
Skeptical,justin trudeau  wasting over 600000 million dollars to change nothing  he will continue to waste tax payers money as he has for the last 6 years this election is embarrassing pretty sure the rest of the world is laughing at the stupidity,negative
Matthew steven Hœfer,laughing out loud i see the disappointment in his eyes laughing out loud the hunger for full power,negative
John Parato,thanks for more debt during a massive pandemic that  s already costing us 100  s of million of dollars but you haven  t cared about your spending so why start now,negative
Snake,free money yess i can now full time do nothing thank you,positive
Sarah Aldrich,Disgust nauseaDisgust ugly physical illness god i hate that man,negative
Max Max,looks like some guys here have a fix for the 650 million deficit under such a difficult time lolif so start a party and win the next election,positive
Toddskie,great now we get fidel jr for a couple more years peachy people even react like they did when castro was talking to them wait for the look to clap everyone wait wait ok now clap,positive
JStubbsss,look at the results clearly western canada feels differently than eastern canada ontario and quebec make up the majority of votes,neutral
Dwayne Revet,pile if Poo bad silly gets voted in again because ontario and quebec get money from rest of canada time to get rid of those provinces idiots,negative
Skeptical,anyone else want to puke right now,negative
neelam kumari,congratulations all canadian actually he deserve god bless you,positive
John Wysman,if voting made a difference they would nt let us do it,negative
Peter,every comment here is against this nacisstic guy and yet he won figure that one out,negative
Toni Etchart,good thing the flag is still at half mast no longer needs to mourn the children buried and forgotten now it can rightly mourn all the future lives lost to reproductive rights legislation and medical assistance in dying laws that our worthy leader supported so vigorously,neutral
Filet mignon,this was the biggest joke election ever i voted with no hope  it felt like a strategy thing to do for their benefit and people who understand already knew what was coming,negative
BpStudio Brent Pauley,what a major joke the systems been rigged for 10000 s of years however as the truths and the light shines you will see the best is yet to come    and so many will be accountable for cahumanity wwg1wga,negative
Jebus Christ,let me guess justine is the most popular preside  er um uh uh prime minister in history by getting 80 million votes last night,positive
Calum CDZ,i  m shocked Annoyed skeptic irritated new world order in full motion,negative
CanonFodder,trudeau and 30 of the electorate wins  70 of canada losescorrection  make that 100 Sarcasm boredom,negative
spencer miller,liberal commenters proving they are literally as communist and authoritarian as we all think they are way to go,negative
Tails,not to get all  conspiracy theory  but how many people here used a pencil to vote after voting and walking out the door i realized how truly insecure the process was,negative
full moon,guess trudeau giant ego failed him  same boat  600000000 for nothing  it could have gone to much better use  than his deire for more power  what a waste,negative
MakeMe Rich,i had to watch it with the sound off thats how cringe it was,negative
cardio 2016,congratulations to trudeau congratulstions to canada,positive
Resist,let the crazy mandates and further restrictions begging but then again that  s what his voters want,negative
Chad Carson,i wish i could dislike this video more than once ,negative
Patri,have you seen what s going on in australia,neutral
LordxCrota,here s too four more years mr prime minister,positive
K. Dickie,sadly this is all just a poorly written reality tv show for jt maybe the election call was his idea to keep it ahead of  the wives of toronto region  in the tv ratings,negative
TheRavenNamedZebra,71k dislikes and this idiot won  we do not have free and fair elections in canada act that trudeau has won is not overly disappointing because he will expediate the satanic agenda and the people are going to rise up against him i d rather deal with the same old pony then get duped by a new one trudeau needs to be held accountable and the only way that s possible is if he remains in office,negative
Twin Dad,we re all doomed Hot excellent angryfacewithhorns Hot excellent,neutral
Chris Benson,600 million dollars thrown away by this clown born with a silver spoon in his mouth and every day this country is going more and more into debit by the millions how could anyone ever vote for this party at some point the  free money  runs out sorry if i do nt celebrate passing this legacy of crippling debit and corrupt politicians,negative
Mr Jay,hard to believe canadians vote for a socialistmarxist future of government control,negative
Chin Chilla,710 canadians don  t want this guy,negative
JM C,i guess we will be voting again soon  Hysterical laughterHysterical laughterHysterical laughterHysterical laughterHysterical laughterHysterical laughter i,neutral
keith bekkattla,another rigged election Sarcasm boredom,negative
Hunter,what a sham just like biden all a farce canada is doomed,negative
Kurt CoBANGER,canada orders a big macjihadijustin would you like lies with that eastern canada  yes please dictator me harder blackface  ,negative
Willie Lapier,i live in the united statesof america just wanted to say congratulations to you justin trudeau and your country i am part canadian i wood like to move to canada i live in america i still look up and i will respect you thank your a better president than joe biden Canada Canada Canada Well done good job approvalRock on,positive
Rick Harrison,justine castro is not fit to be dictator i mean prime minister,negative
W. Jeffrey Shervington,a 158 seat minority government is not a clear mandate to do anything try talking constructively with the other parties do your friggin job,negative
g5macdaddy,eat gravel trudeau buy more votes why don  t ya,negative
Adam Carlson,such a rigged election and its so obvious,negative
HARDCORE Studios- VOICE IN THE WELL   ♪,we cant vote you out you cheat so we are going to be removing you via force,negative
jeberjaber,unfortunately i just don  t think people look into politics that much and the word liberal appeals to most of these young people who want people to not be restricted but this guy has done nothing but spend our money like crazy the last 6 years all these young people don  t realize yet there the ones that are going to pay for it in the future good luck trying to afford a house and raise a family youngins,negative
Janu Bouny,he made this election for good reason excellentnice he will change the housing game we need less games on housing for them is game for middle classe is expensive rent and price to buy house this is reason to stop people from buying selling house many times year so it is time to fond another job for those people instead of trying to sell house and make the market higher everytime,positive
pete baker,i didnt give you clear direction i would tell you to jump off a cliff,negative
W. Jeffrey Shervington, together   liberal speak for forced compliance,negative
Lynn Stewart,yeah you are basically right where you were a month or so ago wow what a victory you putz,positive
Mikhail Babushkin,the likes dislikes in this video tell you everything about the mood in the country,neutral
Jechill,maybe the conservatives will shut up and get in line now get out of trudeau s way,negative
wasup fool,you wasted 610 million dollars on an un necessary election because you wanted a majority and we ended up exactly where we left off all in the middle of a pandemic worst prime minister in canadian history,negative
Joe,the ratio of likes and dislikes on this video really shows how much people wanted this guy to be the prime minister again sarcasm,negative
Adam Haddock,his father fidel would be so proud smilingfacewithtear,positive
Liightskiin,this is sooooo rigged wow this is all a joke,negative
Raman Sandhu,what special thing he achieved calling elections earlier during pandemic just wastage of taxpayers money,negative
Kenneth Gebhardt,what election victory are you and trudeau speaking about most people knew when trudeau aka  the flake because he has the backbone of a snowflake in june called this election it would be another liberal minority government it should be the flake and his loyal subjects who reimburse canadian people for the cost of this election,negative
newfiemama1,good bye canada he back again,positive
Viraj bhandari,congratulations mr 23 prime minister,positive
Shining Light,people do you now see how the system is unfair,negative
Scruffy Warlord,it s funny people were laughing about trump but trudeau will make some canadians flee canada and it s free healthcare system 4 more years of communism canada,negative
BlueDeath,4 more years of trudeau i cry for canada who are the jerks who voted him in illegal immigrants and refugees,negative
Gurpinder Singh Chauhan,great relief to sikhs immigration khul gyi,positive
Arcen Leumaster,tax dodgers won this elections they are once again assured to be shielded  the rich at least,neutral
Eilsel selie,thanks god  congratulations  you are the best ,positive
Twin Dad,congratulations keeping us trapped in a communist government people trapped in this world with a bunch of sheep if you voted for trudeau then you re fools,negative
casual2222,ccp is a threat to the world and trudeau loves the ccp,negative
The Savage Canuck,canada is about to learn a very serious lesson now ,negative
CdnAnonAwoke,dominion insurrection machines again war crimes against humanity and children fakenewsmedia asssouls,negative
hodokwaja,just dumped millions of dollars in a garbage now how you gon na tax it again,negative
Janu Bouny,bravo you are welcome sir,positive
Vince Klortho,four more years of mediocrity  no matter who won the election,negative
John Smith,justin won with 68 of the voters not voting for him even the losing conservatives had more actual votes 33 vs 32 what a flawed system in canada,negative
Jack_Crutons, this election has confirmed that our democracy remains strong  bro whatExtreme happiness laughterExtreme happiness laughterExtreme happiness laughterExtreme happiness laughter,positive
Matt Savage,it s very unfortunate that jagmeet singh did nt get the votes that he deserves alot of white people refuse to vote for someone who s not  sad world Reflective remorseful orangeheart,negative
Scuf Welfare,now every country gets money from canada just call him racist boom here s a couple hundred million,negative
Mitchell Tennant,canadiens need to have our own january 6th i would like to see statistics of what groups voted liberal i bet there are 2 main groups of people who voted him in and i m not going to get into it i m native american so yea i am ashamed i can guarantee he got the refugee vote because they get 3000 a month to make it threw plus single parents voted liberal cuz you make more money raising 3 kids then someone working 2 full time jobs 1 being a profession,negative
Caroline Cavalcante,of course he won he buys and corrupts everything and everyone despicable all this Disgust ugly physical illnessDisgust ugly physical illnessDisgust ugly physical illness,negative
Mike Sutherland,it s well past time that alberta separated from this emerging socialist hellhole called  canada  let the newfies the gta and quebec have this dolt as their leader and the ensuing bankruptcy and social chaos sure to result let alberta go it s own way and the east can vote in and affirm authoritarian socialism for itself and not involve the rest of us who want to avoid it,negative
Calvin Duchaine,what was accomplished the only thing that came out of this is we are shown how one city in canada votes in a prime minister and the rest of the country has to live with it,neutral
Theo Haugen,2 more years under are old dictator,negative
Hurling Pixels,they may be on the left but they could have included some sound on the right,neutral
Jason Grenier,good bye canada we still have a dorky guy named trudeau,negative
Svein222,look what money can buy you kids,positive
Nadia Sheikh,good luck rightfacingfist leftfacingfist raisedfist Celebration success,positive
Bring Da Beards,canada is a laughing stock,negative
robert malcolm,how much did this victory speech cost canadians,negative
Turtle,why did he win again he  s ruining our lives,negative
ES Outdoors,if you are talking about canadian people than conservative people won because they have more votes than the liberals do  pos,negative
Lu Bunni,okay but he  s an idiot for calling an election during a pandemic,negative
Eric Beemer,just like in 2019 he s speech is as if he got a majority out of touch and arrogant,negative
SilentQ,another year and a half ahead of burying canada deeper in debt and taking  expense  money from billion dollar  charities ,negative
Fraser,eph a href  the only truth i follow these days keep loving one another it is our strongest weapon,positive
Robert Mullins,rigged just like his buddy joe in the us mail in ballots if you cant get up and vote in person you should nt be allowed to vote ,negative
Keston Mokelky | Let Holy Fire Reign Ministries,another rigged election brace your self folks if you thaught it was bad before thats nothing compared to what they have planned coming,negative
David Undersun,we are glad you are back jt,positive
Jacquie,canadians voted for globalism last night,negative
DHA SHARMA,many many congratulations libreal,positive
Vlad Kaplinsky,the world has changed wildly at the head of large countries are old marasmatics thieves and murderers clowns corumpired scoundrels where is the world rolling,negative
djb,the united nations prime minister that s why this clown won and after afghanistan gets here he will be in power for ever akbar liberal,negative
Shawn K,imagine how excited the chinese leaders must be to wake up to this news,positive
End of the World,how can this video have 2x as many dislikes as likes  yet he won ,negative
T B,judging by the amount of thumbs down compared to thumbs up makes it obvious the election was rigged,negative
Connie,as the canadian prime ministers wife and first lady of our country i think its important not to throw on a crumpy green bag for a public appearance she may have substance but she looks like jello shooter,negative
Just EPIC, millions of canadians  you mean the 200 seats in toronto that you just so happen to have won look at the map and tell me o  tool shouldn  t have won,negative
J C,oh look very distance much social,neutral
John Warhuus,another great victory victoryhand,positive
Karel Devolder,i bet the girls and women love him also the refugees and immigrants vote for him  canada will become the next brussels ,positive
SuddenSwine4200,i ca nt believe my country voted this guy again  he s done nothing but line his own pockets and put us in dept,negative
Bigturc Lake life,what a goof winning speech oh yeah well we are in the same spot we were last time but we cost taxpayers 600 million seems like a good job to all liberals,negative
Guerrière Pacifique,the circus must go on  for a litt le while again i beleive its a fraude,negative
Bumble,where is our proportional representation you promised trudeau you were too worried to actually give canadians a proper voice were nt you,negative
TheBroknPezDispenser,i  m not sure if i want to live anymore,negative
KTech,well done trudeau at least we did nt lose to a racist like the old days so good job my trudeau,positive
animatejack man,look how liberal this crowd looks xd,negative
J C,how much does one seat in parliament cost you ask apparently 610 million dollars the liberals increased their seat count by one  that s your hard earned tax dollars being spent by a parttime drama teacher,negative
Cloudy Rain,we r doomed for the next few years laughing out loud,negative
Jason,more dislikes than likes  how about that he is the leasder of the east not the west,negative
Amy Huntington,i think something happened with them ballots in the mail,neutral
TheD736,justin trudeau paid half a billion dollars for like 1 more seat magical,neutral
SGMIV,i better hear no complaints when he adds three new gas taxes,negative
Jeremy Lock,what victory you spent 600 million to gain a few seats get a life,negative
JS Drifts,i bet 50 canadians over 18 didnt go vote my self included they are all too soft to be a leader of a country we need someone that is more strict like a military general trudeau didnt do anything for the essential workers working through this entire pandemic while some people can stay at home and get 2k a month while other part time essential workers are making less than that all we got was a thank you,negative
vann Nee,its official canada is a lost cause and weak blackface takes it again well done hypocrites,negative
Bob Ross,canadians did speak we want him gone majority of us said goodby fk your seats they ll come for you now clown,negative
Axel the Axolotl,my wallet and bank account are already empty he ca nt take anymore from us,negative
Destiny,bought and paid for it  that s how the system works in the elite s world  not a very good sign for the future,negative
Todd Smith,i hate this guy time for civil war,negative
O.G.Moose,i m actually surprised i was 100 sure otoole would win,negative
M H,when did his kids get that big wow,neutral
George Matta,ppc voters ironically gave this  person  the election simple as that next kick at the can vote strategically please,negative
kari knowler,this was so rigged everyone do the country a favor and look in the dumpsters around polling places and look for the real votes,negative
opijopk,he calls for an election the day canadians are trapped in afghanistan and the west pulls out pure disgusting and he won,negative
The Luminary,not that there really is a party solution with a cartel of choices but now we are going to have another 4 years of the globalist agenda,negative
Zack,i sense palpatine reborn  he is constantly seeking more power,neutral
StayWild Sasquatch,spoiled elitist and out of touch people will go back to the swill they are uncomfortable with normal i am sorry to tell you that this concept of normal has been wagged in your faces to engage an agenda we will never go back to  normal  did we go back to normal after 911 phase 2 will involve a more engaged social credit system,negative
blue mountain,the liberal party of canada represent true blue canadians mad max supporters are the discarded bitter rind in our society,negative
Kennie B,we the people had enought trudeau will be gone soon he won nothing,negative
Smile More,such a liar  unbelievable,negative
Tracer001,the sheep voted for the weasel,negative
Pi for breakfast,hey justin where  s your first campaign promise i hate first past the post we all wanted proportional representation but i understand why a dictator like you would go against the nation  s wishes,negative
Eastern Saxon,victory speech 600 million for the same outcome is not a victory if anything he  s the one that lost cause he didn  t get the majority,negative
Kennie B,he lost no one voted for this fool again its george soros voting machines doing the counting fake and a civil war son,negative
Paul,this is what happens when you have a broken election system and media that are on the payroll,negative
GialloJello,there is something not right about this election it s like he knew beforehand that he was going to get reelected again plus the mail in ballots has nt even been counted yet so why are they so cocksure that he won,negative
Pyrolight,ya we shuffled a few seat around we are awesome,positive
WILLIAM LLOYD,trudeau flies around in his jets and buses causing more pollution then i would in 10 yrs and costing us more tax payers money to have a election saying we need to do more for our planet and fellow canadians need to step up laughing out loud thanks for wasting our hard earned tax payers money on nothing,negative
A Team,ugh slow clap for the simps that voted for castro we  re one step closer to the socialistcommunist dystopia y  all are begging for,negative
radioactive man,what a waste of time and money Extreme happiness laughter,negative
Brandy Ramy,he hasn  t delivered on anything so far except massive debt and broken promises he is a massive waste of oxygen ohhh he says he hears you but doesn  t f king care,negative
orvy webster,another rigged election from trudeau how can anyone win when most people hate his guts,negative
blue mountain,angry dogs are barking in the comment section below hahahaaa,negative
TunGsten,this clown and his party will destroy the economy with their crazy ideas he has almost done it and also divided canada the canada you knew before will never be the same welcome to the country of the 3 world,negative
Francis Gaudreau,nice job calling the election before all the votes where in why does ontario get to decide where most of the country voted against him,negative
CrashBandits,i ca nt believe this country voted this guy in a 3rd time  societies collapse because they deserve to,negative
Spooky,rip to the guy who was tryna shake justin  s hand and got an elbow instead Uncontrollable sadness joyUncontrollable sadness joyExtreme happiness laughterExtreme happiness laughter,negative
WolfStormClaw,wow we really have learned absolutely nothing have we,negative
Happy Progressive Poop,he is experiencing his majority differently,neutral
Doris,i have never seen a more hated prime minister so this is what a fixed election looks like he couldn  t fix it completely to get a majority,negative
💥R0B💥,get rid of the carbon tax its costing everyone a fortune,negative
Sameer Kapoor,you are a gem mrtrudeau  don  t b bothered abt haters ,positive
khan,democrats are cheaters they control vote,negative
mera8785,650 million could have gone a long way in helping the allegedly overburdened healthcare system but that  s ok see you guys in 18 months for another 650 million waste of time,negative
Bilal m,we love you sir redheart redheart redheart redheart,positive
StayWild Sasquatch,congratulations on wasting more money on your egotistical election we will be bankrupt in four years with your promise of doling billions out everyday welcome to the new world order people,negative
Dayle Klaudt,once again trudeau  s arrogance has cost this country dearly 600 million dearly when will liberal supporters wake up this man  s agenda is to bankrupt canada maybe after inflation is at double digits they might wake up,negative
Anastasia Spyridopoulos,rigged election thumbsdown,negative
Vernadel Steele-Smith,we ll see if you will really end this pandemic and how long it will take or will you keep it dragging on causing more fear,negative
Derek Clarke,what a waste of money 600 million feeds a lot of people what a joke,negative
Zen Mind State,sure feels like we keep taking steps backwards,negative
LMLM LMLM,this is what happens when universities stop teaching critical thinking skills and brainwash students with the wokeism you get swept off your feet by the king of woke,negative
J G,i blame toronto for this mess,negative
lithiusx,fact is that the majority of canadians are children roleplaying as adults part of them eats up every word of fearmongering coming from trudeau s mouth the other part of them ca nt get enough of the false promises of safety it s a sick and twisted relationship between the victims and their capturerthey live in a fake reality where real problems are constantly ignored and fake problems are created and held on to in order to divert their attention,negative
Whittling Cowboy,you were not  victorious  you are still a loser that needs to bribe another loser in order to do anything you gained nothing,negative
NUCLEAR BRIEFCASE💼,why did this election happen if he did nt get majority Extreme happiness laughterExtreme happiness laughter,negative
jamil ahmad,congratulations justin trudeau,positive
Rich,people complain after the results well then do nt vote for him in the first place or do nt just not vote vote for another party so they have a better chance i do nt know who all these people are who voted for liberal again all i see is hate against this party on social medias then who voted now be ready to pay more and more tax and high grocery rent bills,negative
OhGeeTV,canada just officially put the last nail in her coffin,negative
Caroline Saganash,promises he made promises not kept,negative
Montgomery Hill,550 million injected into the canadian economy all across the country and a continued level empathetic proscience leadership running the country past the most deadly challenge the world has faced in multiple generations i say job well done,positive
kyle mclaren,i m never laying taxes again,negative
PianoFever,i see  i see  what i see is ontario and quebec are happy for some reason,neutral
Joe Walkinshaw,who keeps voting for this man he has proven himself to be incompetent he is destroying the economy he has hobbled the natural resource industry our armed forces are a joke and on and on and so on and so on so why do you vote for this incompetent,negative
TaRA AL,why do people act surprised that he won  i  m getting paid to stay home  this is what i heard through the campaign laughing out loud did he really need to spend the money on this election,negative
Daniel Luciano,nobody has anything good to say about this guy but yet he wins fixed,negative
Giga Chad,650 million dollars wasted,negative
khan,voting is just a show liberals control all voting systems,negative
Abushek Akbar,iam very happy Angelic innocent Canada Appreciation happy mandancinglightskintone Fun positive carefree,positive
Tito Brozzi,34 of canada didn  t vote junior has 4 more years to turn canada into a fetish party room,negative
Mr. T,cheated just like the demonrats from the usa did ,negative
Roger Langille,so the corrupt liberals survived and they think that s a win while the people of canada took it on the chin flushed 650 million down the drain plus however many many millions you gave to the media companies and the 400 million cbc so the real cost is well over a billion dollars how much over we do nt know,negative
Josie Lau,congratulations trudeau Celebration congratulations Celebration congratulations Celebration congratulations Celebration congratulations Celebration congratulations,positive
Anthony Van Zant,couldnt even fill the room npe no election fraud in canada,negative
Lizzbird,why are you guys upset you voted for him you guys don  t make any sense just like you say the government don  t make sense,negative
Dan V,those making negative comments obviously are too young to remember the last conservative government and how bad those years were,negative
BeyondChange,does anyone else despise looking at justin s face and also hearing him talk,negative
Michael Shih, a clear mandate  to do nothing still a minority government,negative
Pius X,oh canada what have you done Hiding cringing disbeliefHiding cringing disbelief,negative
smeagle,600 million dollars could have went along way to help canadians ,neutral
Dina Patel,have some shame for your deeds you gambled with tax payer s money,negative
Lorenzo Mabalos,and it was at this moment  we knew  canada died and failed,negative
Malcolm Watt,it s a minority still if the global economy implodes watch the liberals scream as they run for the exit except there is nt one and the rigor mortis sets in,negative
phredrek,i hope he actually gives all first nations clean drinking water he better hold that promise,neutral
David Drane,city news  i at first gave you a thumbs down because of trudeau  have changed it to thumbs up  you did not take my comment down  thank you  they can not change the truth  so they must hide it  Well done good job approvalWell done good job approvalWell done good job approvalWell done good job approvalWell done good job approvalWell done good job approvalWell done good job approval,neutral
majd s.,what a waste of money this guy is,negative
Huntex,so all of a sudden he  s gon na lower housing prices like he  s been promising for the past few years yeah right,neutral
Ryan S,so that was a big waste of money huh,negative
x,look at the down votes there obviously was cheating going on in the voting system if he won fairly the up votes should be greater then down votes the proof is in the pudding,negative
Derek Campbell,affordable homes in bc nope you have not done that,negative
Darin Skye,either way you look at this justin trudeau you made history,positive
Phil McRackin,when do i get my part of the 600million back,neutral
sweiland75,what a waste of time and taxpayers money reelecting this high school drama teacher and blackfaced racist,negative
Αgapy,i  m in tears so depressed,negative
Michael Perkins,quebec brampton and toronto should separate,neutral
Donna Keizer,total destruction of canada but it is written rev 13 shepherds chapel 10 evil supernatural leaders,negative
Dany Rizk,nobody looks at the leaders the us has had for 15 yrs compared to trudeau we canadians are the luckiest in the world our economy is strong the usa is collapsing what is it that you people want,negative
Indigo's Teeth,the whole point was to get a majority vote of 170 so trudeau might as well have lost the election because he still cant get anything passed in parliament with only 158,negative
Derrick Blower,wow ca nt wait for next election  hopefully see trudeau gone,positive
GetYourPaperRoute,get ready for the lockdowns,neutral
Reider,calling another in 18months,neutral
Donna Keizer,i don  t believe it must have cheated,negative
michelle badham,is anyone really surprised he won these bloody wankers are selected not elected our votes do not count one bit,negative
Keith Ross,i  m still not taking your shots that don  t work Swearing contempt disrespectSwearing contempt disrespectSwearing contempt disrespect,negative
Happy Progressive Poop,mandate about as clear as the shoe polish on his face,negative
S U,i want a recount and an audit,negative
GCORE,everything he says means the opposite everything,negative
SkaRRinG,at this point i hope lee harvey oswald returns from the grave,negative
Jared VH,he most likely won the same way biden did,neutral
Dr. Shamsur Rahman Homoeopathy,congratulations to you and your teammay allah bless you and your family,positive
TheVioletWitch,so he can be a good public speaker he needs to present himself like this regularly,positive
John regularman,rigged elections leave room only for violence,negative
Us and Them,dangerous global puppet extremely dangerous,negative
Monster Mladen,you do nt see division all your going to see is division and angry canadians these next few years buddy do nt worry about that laughing out loud,negative
christian fry,i know people who voted liberal in the 2019 election but i have no met a single person voting liberal this election so i m stunned to see that he actually got as many votes as he did,negative
